TID,VAR,TRP,VAL,TRF,GRD
DC107110771,TC,R,0,R,0.0
DC107110771,TC,RG,0,R,
DC107110771,TC,RM,0,R,
DC107110771,TC,RS,0,R,
DC107110772,TC,R,1,RS,
DC107110772,TC,RG,1,RS,
DC107110772,TC,RM,1,RS,
DC107110772,TC,RS,1,RS,
DC107411931,TC,R,0,R,0.0
DC107411931,TC,RG,0,R,
DC107411931,TC,RM,0,R,
DC107411931,TC,RS,0,R,
DC107411932,TC,R,0,RM,
DC107411932,TC,RG,0,RM,
DC107411932,TC,RM,0,RM,
DC107411932,TC,RS,0,RM,
DC107813891,TC,R,0,R,1.0
DC107813891,TC,RG,0,R,
DC107813891,TC,RM,0,R,
DC107813891,TC,RS,0,R,
DC107813892,TC,R,0,R,1.0
DC107813892,TC,RG,0,R,
DC107813892,TC,RM,0,R,
DC107813892,TC,RS,0,R,
DC107813893,TC,R,1,R,0.0
DC107813893,TC,RG,1,R,
DC107813893,TC,RM,1,R,
DC107813893,TC,RS,1,R,
DC107813894,TC,R,0,R,
DC107813894,TC,RG,0,R,
DC107813894,TC,RM,0,R,
DC107813894,TC,RS,0,R,
DC110211381,TC,R,0,R,1.0
DC110211381,TC,RG,0,R,
DC110211381,TC,RM,0,R,
DC110211381,TC,RS,0,R,
DC110211382,TC,R,0,RG,
DC110211382,TC,RG,0,RG,1.0
DC110211382,TC,RM,0,RG,
DC110211382,TC,RS,0,RG,
DC110211383,TC,R,0,RG,
DC110211383,TC,RG,0,RG,
DC110211383,TC,RM,0,RG,
DC110211383,TC,RS,0,RG,
DC111113741,TC,R,1,R,1.0
DC111113741,TC,RG,1,R,
DC111113741,TC,RM,1,R,
DC111113741,TC,RS,1,R,
DC111113742,TC,R,1,R,0.0
DC111113742,TC,RG,1,R,
DC111113742,TC,RM,1,R,
DC111113742,TC,RS,1,R,
DC111113743,TC,R,0,R,1.0
DC111113743,TC,RG,0,R,
DC111113743,TC,RM,0,R,
DC111113743,TC,RS,0,R,
DC111113744,TC,R,1,R,
DC111113744,TC,RG,1,R,
DC111113744,TC,RM,1,R,
DC111113744,TC,RS,1,R,
DC111911331,TC,R,1,RG,
DC111911331,TC,RG,1,RG,0.0
DC111911331,TC,RM,1,RG,
DC111911331,TC,RS,1,RG,
DC111911332,TC,R,0,RG,
DC111911332,TC,RG,0,RG,1.0
DC111911332,TC,RM,0,RG,
DC111911332,TC,RS,0,RG,
DC111911333,TC,R,0,RG,
DC111911333,TC,RG,0,RG,0.0
DC111911333,TC,RM,0,RG,
DC111911333,TC,RS,0,RG,
DC111911334,TC,R,0,RG,
DC111911334,TC,RG,0,RG,0.0
DC111911334,TC,RM,0,RG,
DC111911334,TC,RS,0,RG,
DC111911335,TC,R,0,RG,
DC111911335,TC,RG,0,RG,1.0
DC111911335,TC,RM,0,RG,
DC111911335,TC,RS,0,RG,
DC111911336,TC,R,0,RG,
DC111911336,TC,RG,0,RG,
DC111911336,TC,RM,0,RG,
DC111911336,TC,RS,0,RG,
DC112511051,TC,R,0,R,1.0
DC112511051,TC,RG,0,R,
DC112511051,TC,RM,0,R,
DC112511051,TC,RS,0,R,
DC112511052,TC,R,1,RG,
DC112511052,TC,RG,1,RG,0.0
DC112511052,TC,RM,1,RG,
DC112511052,TC,RS,1,RG,
DC112511053,TC,R,1,RG,
DC112511053,TC,RG,1,RG,
DC112511053,TC,RM,1,RG,
DC112511053,TC,RS,1,RG,
DC112511941,TC,R,1,RS,
DC112511941,TC,RG,1,RS,
DC112511941,TC,RM,1,RS,
DC112511941,TC,RS,1,RS,0.0
DC112511942,TC,R,0,RS,
DC112511942,TC,RG,0,RS,
DC112511942,TC,RM,0,RS,
DC112511942,TC,RS,0,RS,1.0
DC112511943,TC,R,0,RS,
DC112511943,TC,RG,0,RS,
DC112511943,TC,RM,0,RS,
DC112511943,TC,RS,0,RS,
DC119110451,TC,R,0,RS,
DC119110451,TC,RG,0,RS,
DC119110451,TC,RM,0,RS,
DC119110451,TC,RS,0,RS,0.0
DC119110452,TC,R,0,RS,
DC119110452,TC,RG,0,RS,
DC119110452,TC,RM,0,RS,
DC119110452,TC,RS,0,RS,1.0
DC119110453,TC,R,0,RS,
DC119110453,TC,RG,0,RS,
DC119110453,TC,RM,0,RS,
DC119110453,TC,RS,0,RS,1.0
DC119110454,TC,R,0,RS,
DC119110454,TC,RG,0,RS,
DC119110454,TC,RM,0,RS,
DC119110454,TC,RS,0,RS,
DC121910891,TC,R,1,R,0.0
DC121910891,TC,RG,1,R,
DC121910891,TC,RM,1,R,
DC121910891,TC,RS,1,R,
DC121910892,TC,R,1,RS,
DC121910892,TC,RG,1,RS,
DC121910892,TC,RM,1,RS,
DC121910892,TC,RS,1,RS,0.0
DC121910893,TC,R,1,RS,
