TID,VAR,TRP,VAL,TRF,GRD
DC107110771,TC,R,0.0,R,0.0
DC107110771,DEGFR,R,0.0554923398358684,R,0.0
DC107110771,EGFR,R,75.99544846818253,R,72.0
DC107110771,TC,RS,0.0,R,
DC107110771,DEGFR,RS,-0.0017178280575497,R,
DC107110771,EGFR,RS,71.87631637985642,R,
DC107110771,TC,RM,0.0,R,
DC107110771,DEGFR,RM,0.0096882714165581,R,
DC107110771,EGFR,RM,72.697556,R,
DC107110772,TC,R,1.0,RS,
DC107110772,DEGFR,R,-0.1660711583432492,RS,
DC107110772,EGFR,R,60.04287659928605,RS,
DC107110772,TC,RS,0.0,RS,
DC107110772,DEGFR,RS,-0.0766271442264407,RS,
DC107110772,EGFR,RS,66.48284561569626,RS,
DC107110772,TC,RM,0.0,RS,
DC107110772,DEGFR,RM,-0.0631483925713433,RS,
DC107110772,EGFR,RM,67.453316,RS,
DC107411931,TC,R,1.0,R,0.0
DC107411931,DEGFR,R,-0.1176903747172378,R,-3.571428571428572
DC107411931,EGFR,R,49.40933901583468,R,54.0
DC107411931,TC,RS,1.0,R,
DC107411931,DEGFR,RS,-0.1035202528365637,R,
DC107411931,EGFR,RS,50.20286584115243,R,
DC107411931,TC,RM,0.0,R,
DC107411931,DEGFR,RM,-0.0867088181631905,R,
DC107411931,EGFR,RM,51.144306,R,
DC107411932,TC,R,1.0,RM,
DC107411932,DEGFR,R,-0.2168712875625869,RM,
DC107411932,EGFR,R,42.2889504716203,RM,
DC107411932,TC,RS,1.0,RM,
DC107411932,DEGFR,RS,-0.116667442970925,RM,
DC107411932,EGFR,RS,47.699958079570045,RM,
DC107411932,TC,RM,1.0,RM,
DC107411932,DEGFR,RM,-0.1544248792860243,RM,
DC107411932,EGFR,RM,45.661057,RM,
DC107813891,TC,R,1.0,R,1.0
DC107813891,DEGFR,R,-0.3273182074024359,R,-21.428571428571427
DC107813891,EGFR,R,47.08772548182949,R,55.0
DC107813891,TC,RS,1.0,R,
DC107813891,DEGFR,RS,-0.146108037194997,R,
DC107813891,EGFR,RS,59.772437396350206,R,
DC107813891,TC,RM,1.0,R,
DC107813891,DEGFR,RM,-0.1474875313895089,R,
DC107813891,EGFR,RM,59.675873,R,
DC107813892,TC,R,1.0,R,1.0
DC107813892,DEGFR,R,-0.2288367739799014,R,-47.27272727272727
DC107813892,EGFR,R,42.41397743110542,R,29.0
DC107813892,TC,RS,0.0,R,
DC107813892,DEGFR,RS,-0.0775787397254987,R,
DC107813892,EGFR,RS,50.73316931509757,R,
DC107813892,TC,RM,1.0,R,
DC107813892,DEGFR,RM,-0.133411338112571,R,
DC107813892,EGFR,RM,47.662376,R,
DC107813893,TC,R,1.0,R,0.0
DC107813893,DEGFR,R,-0.1893040294317376,R,37.93103448275862
DC107813893,EGFR,R,23.51018314647961,R,40.0
DC107813893,TC,RS,0.0,R,
DC107813893,DEGFR,RS,-0.0260863918886306,R,
DC107813893,EGFR,RS,28.243494635229712,R,
DC107813893,TC,RM,0.0,R,
DC107813893,DEGFR,RM,0.0410513384588833,R,
DC107813893,EGFR,RM,30.190489,R,
DC107813894,TC,R,1.0,R,
DC107813894,DEGFR,R,-0.2572085675534543,R,
DC107813894,EGFR,R,29.711657297861827,R,
DC107813894,TC,RS,0.0,R,
DC107813894,DEGFR,RS,-0.0897317843394237,R,
DC107813894,EGFR,RS,36.41072862642305,R,
DC107813894,TC,RM,0.0,R,
DC107813894,DEGFR,RM,-0.0960219383239746,R,
DC107813894,EGFR,RM,36.159122,R,
DC110211381,TC,R,1.0,R,1.0
DC110211381,DEGFR,R,-0.2221046829431914,R,-5.681818181818182
DC110211381,EGFR,R,68.45478790099915,R,83.0
DC110211381,TC,RS,0.0,R,
DC110211381,DEGFR,RS,-0.0790612004410527,R,
DC110211381,EGFR,RS,81.04261436118736,R,
DC110211381,TC,RM,0.0,R,
DC110211381,DEGFR,RM,-0.0677210200916637,R,
DC110211381,EGFR,RM,82.04055,R,
DC110211382,TC,R,0.0,RG,
DC110211382,DEGFR,R,-0.0920877303533354,RG,
DC110211382,EGFR,R,75.35671838067316,RG,
DC110211382,TC,RS,0.0,RG,
DC110211382,DEGFR,RS,-0.0738458073412208,RG,
DC110211382,EGFR,RS,76.87079799067867,RG,
DC110211382,TC,RM,0.0,RG,
DC110211382,DEGFR,RM,-0.0225101149225809,RG,
DC110211382,EGFR,RM,81.13166,RG,
DC110211383,TC,R,1.0,RG,
DC110211383,DEGFR,R,-0.1367082564866217,RG,
DC110211383,EGFR,R,68.20004773755689,RG,
DC110211383,TC,RS,0.0,RG,
DC110211383,DEGFR,RS,-0.0767889885255855,RG,
DC110211383,EGFR,RS,72.93366990647874,RG,
DC110211383,TC,RM,0.0,RG,
DC110211383,DEGFR,RM,-0.0626038177103936,RG,
DC110211383,EGFR,RM,74.0543,RG,
DC111113741,TC,R,1.0,R,1.0
DC111113741,DEGFR,R,-0.1596330222424802,R,-20.3125
DC111113741,EGFR,R,53.78348657648127,R,51.0
DC111113741,TC,RS,1.0,R,
DC111113741,DEGFR,RS,-0.1401594834284739,R,
DC111113741,EGFR,RS,55.02979306057767,R,
DC111113741,TC,RM,0.0,R,
DC111113741,DEGFR,RM,-0.0832501649856567,R,
DC111113741,EGFR,RM,58.67199,R,
DC111113742,TC,R,1.0,R,0.0
DC111113742,DEGFR,R,-0.123282606040309,R,0.0
DC111113742,EGFR,R,44.71258709194424,R,51.0
DC111113742,TC,RS,1.0,R,
DC111113742,DEGFR,RS,-0.1316115111981237,R,
DC111113742,EGFR,RS,44.28781292889569,R,
DC111113742,TC,RM,0.0,R,
DC111113742,DEGFR,RM,-0.0836299073462392,R,
DC111113742,EGFR,RM,46.734875,R,
DC111113743,TC,R,0.0,R,1.0
DC111113743,DEGFR,R,-0.0374744317574123,R,-17.647058823529413
DC111113743,EGFR,R,49.08880398037197,R,42.0
DC111113743,TC,RS,0.0,R,
DC111113743,DEGFR,RS,-0.079534236501624,R,
DC111113743,EGFR,RS,46.94375393841717,R,
DC111113743,TC,RM,0.0,R,
DC111113743,DEGFR,RM,-0.0301352856205958,R,
DC111113743,EGFR,RM,49.4631,R,
DC111113744,TC,R,0.0,R,
DC111113744,DEGFR,R,0.0690518175057206,R,
DC111113744,EGFR,R,44.90017633524027,R,
DC111113744,TC,RS,0.0,R,
DC111113744,DEGFR,RS,-0.0342943738939832,R,
DC111113744,EGFR,RS,40.5596362964527,R,
DC111113744,TC,RM,0.0,R,
DC111113744,DEGFR,RM,0.0253602890741257,R,
DC111113744,EGFR,RM,43.065132,R,
DC111911331,TC,R,0.0,RG,
DC111911331,DEGFR,R,-0.0891230738609167,RG,
DC111911331,EGFR,R,74.69190794340483,RG,
DC111911331,TC,RS,0.0,RG,
DC111911331,DEGFR,RS,-0.0823491565265961,RG,
DC111911331,EGFR,RS,75.24736916481912,RG,
DC111911331,TC,RM,0.0,RG,
DC111911331,DEGFR,RM,-0.035691144989758,RG,
DC111911331,EGFR,RM,79.073326,RG,
DC111911332,TC,R,1.0,RG,
DC111911332,DEGFR,R,-0.1671118720748819,RG,
DC111911332,EGFR,R,71.62837900156015,RG,
DC111911332,TC,RS,0.0,RG,
DC111911332,DEGFR,RS,-0.0918253145951184,RG,
DC111911332,EGFR,RS,78.10302294481981,RG,
DC111911332,TC,RM,0.0,RG,
DC111911332,DEGFR,RM,-0.0297185321186864,RG,
